epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,356.971,0.8563,1.08191,1.16301,0.96185,0.92103,0.97323,0.75707,0.85533,1.03267,1.25188,0.000660066,0.000660066,0.000660066
2,723.002,0.83614,0.67431,1.13613,0.96702,0.93607,0.96637,0.75755,0.82461,0.75803,1.21895,0.00123917,0.00123917,0.00123917
3,1075.47,0.8362,0.56408,1.12777,0.96277,0.94458,0.97081,0.73155,0.91804,0.6782,1.34436,0.00173027,0.00173027,0.00173027
4,1434.57,0.8151,0.52022,1.11758,0.96707,0.93876,0.96483,0.65885,0.9475,0.71669,1.36206,0.001604,0.001604,0.001604
5,1785.35,0.80739,0.48462,1.12217,0.98358,0.95714,0.98198,0.75939,0.84471,0.55028,1.33703,0.001472,0.001472,0.001472
6,2131.34,0.67721,0.47386,1.12718,0.94678,0.93409,0.96104,0.74239,0.8155,0.52228,1.27885,0.00134,0.00134,0.00134
7,2478.02,0.64825,0.40052,1.11086,0.94112,0.94521,0.97432,0.7699,0.77235,0.48851,1.2222,0.001208,0.001208,0.001208
8,2822.23,0.62351,0.36811,1.0878,0.99285,0.95107,0.97473,0.79395,0.73388,0.42486,1.16853,0.001076,0.001076,0.001076
9,3161.07,0.61021,0.35291,1.08807,0.9898,0.95205,0.98234,0.81179,0.72394,0.37343,1.16215,0.000944,0.000944,0.000944
10,3500.26,0.59346,0.32779,1.05793,0.98821,0.9565,0.98634,0.8076,0.68318,0.3583,1.10062,0.000812,0.000812,0.000812
11,3838.88,0.59591,0.3142,1.05968,0.99292,0.96109,0.99158,0.78478,0.76362,0.35565,1.14827,0.00068,0.00068,0.00068
12,4181.87,0.57841,0.306,1.0549,0.97905,0.96031,0.98652,0.81361,0.68951,0.35001,1.10587,0.000548,0.000548,0.000548
13,4518.16,0.54342,0.28871,1.03825,0.9815,0.96886,0.98547,0.82853,0.66363,0.33799,1.1104,0.000416,0.000416,0.000416
14,4853.42,0.52992,0.27341,1.03298,0.97926,0.97019,0.99238,0.82924,0.67979,0.31703,1.10977,0.000284,0.000284,0.000284
15,5188.86,0.51543,0.26016,1.02132,0.9936,0.95662,0.99274,0.84175,0.62842,0.29793,1.07017,0.000152,0.000152,0.000152
